,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,Aloe Vera,0xB14C351818678c9ADa29085B440363e67EF3Ce43,2,247,7.95,1.21,6.89,8.34,7.85,3.21,Female,Klin,Pacer,0.44,109,138,4.76,19,20,15,3265
0,VI - Judges,0x1D1f23ee06c2BAecFBd7bEAC88700De813e4e720,3,269,3.75,5.74,7.14,7.97,5.0,6.39,Female,Hoz,Pacer,0.14,38,231,7.64,3,7,6,779
0,The Fridge | OGG,0x776D64c783e4DaDdA89AD5EeC31c95d7768C696b,3,271,5.95,0.4,6.82,6.94,0.25,6.21,Female,Hoz,Pacer,0.31,84,187,5.96,18,16,4,2698
0,KYLE09,0xd91961291a88050cAb4376e01BBFab60911Dc1C4,3,103,2.37,0.63,3.78,1.03,6.32,3.7,Female,Zan,Pacer,0.22,23,80,6.8936170212765955,10,9,4,1550
0,Garrison Langosh,0x125e99C4b92513Da5Fe69B0698e25935b21724Fa,3,271,8.41,0.08,8.88,1.14,0.54,3.01,Female,Hoz,Pacer,0.48,129,142,3.79,32,16,15,4454
0,Ilan Van Wilder,0xD5F4671C99B8fA8d4529799eDCE121d2B68bCb5F,3,274,3.59,8.25,2.06,5.53,5.56,6.21,Male,Hoz,Pacer,0.15,40,234,8.5,1,1,13,487
0,Gimme That VIS,0x5442AB2753DEe3caec88b614037aE298E74c3990,2,273,3.22,0.45,6.29,4.13,8.25,8.92,Male,Klin,Founding,0.28,77,196,7.2,12,9,12,1968
0,Granada,0x3672E4Ed32Ad36C866345E975bb6A50034c1bfE1,3,275,7.99,3.94,0.12,2.94,8.39,6.34,Male,Hoz,Pacer,0.29,81,194,6.22,16,9,9,2310
0,Mario Kalmar,0x609F10EF05e5b068382d1a6D68409b437160d064,3,269,1.19,8.19,8.1,1.67,8.81,4.56,Female,Campona,Epic,0.25,68,201,7.46,16,5,9,2134
0,AYSE,0xCc40Ca56b4E28adcb0285d0dd866EF084581fE9A,4,274,8.0,6.34,2.81,5.04,7.56,3.19,Male,Klin,Legendary,0.27,74,200,7.07,8,6,15,1494
0,DEYM,0x5D6908353f435b797E2B798373e9f4D91fE429C5,3,285,0.81,3.44,3.98,8.08,0.5,7.39,Male,Zan,Rare,0.25,71,214,8.11,19,8,4,2451
